;;;;;;;;
4820030824928;125;1;Art-000060;5 24 білий;ТМ Legka Khoda;1;160;дитячі
4820030825017;125;1;Art-000061;5 24 маріне;ТМ Legka Khoda;1;160;дитячі
4820030825000;125;1;Art-000062;5 24 чорний;ТМ Legka Khoda;1;160;дитячі
4823028018354;125;1;Art-000063;5017 23 сахара;ТМ Legka Khoda;1;100;жіночі
4823028010884;125;1;Art-000064;5062 23 білий;ТМ Legka Khoda;1;;жіночі
4823028010877;125;1;Art-000065;5062 23 маріне;ТМ Legka Khoda;1;;жіночі
4823028010822;125;1;Art-000066;5062 23 сахара;ТМ Legka Khoda;1;;жіночі
4823028010815;125;1;Art-000067;5062 23 чорний;ТМ Legka Khoda;1;;жіночі
4823028010914;125;1;Art-000068;5062 25 білий;ТМ Legka Khoda;1;;жіночі
4823028010907;125;1;Art-000069;5062 25 маріне;ТМ Legka Khoda;1;;жіночі
4823028010846;125;1;Art-000070;5062 25 сахара;ТМ Legka Khoda;1;;жіночі
4823028010839;125;1;Art-000071;5062 25 чорний;ТМ Legka Khoda;1;;жіночі
4823028021446;125;1;Art-000072;5068 23 білий;ТМ Legka Khoda;1;;жіночі
4823028010778;125;1;Art-000073;5068 23 маріне;ТМ Legka Khoda;1;;жіночі
4823028021507;125;1;Art-000074;5068 23 чорний;ТМ Legka Khoda;1;;жіночі
4823028021514;125;1;Art-000075;5068 25 білий;ТМ Legka Khoda;1;;жіночі
4823028010785;125;1;Art-000076;5068 25 маріне;ТМ Legka Khoda;1;;жіночі
4823028021576;125;1;Art-000077;5068 25 чорний;ТМ Legka Khoda;1;;жіночі
4823028025345;125;1;Art-000078;5077 23-25 бордо;ТМ Legka Khoda;1;;жіночі
4823028025437;125;1;Art-000079;5077 23-25 джинс;ТМ Legka Khoda;1;;жіночі
4823028025444;125;1;Art-000080;5077 23-25 маріне;ТМ Legka Khoda;1;;жіночі
4823028025475;125;1;Art-000081;5077 23-25 чорний;ТМ Legka Khoda;1;;жіночі
4823028011164;125;1;Art-000082;5079 23 білий;ТМ Legka Khoda;1;;жіночі
4823028052785;125;1;Art-000083;5079 23 джинс;ТМ Legka Khoda;1;;жіночі
4823028052884;125;1;Art-000084;5079 23 срібло;ТМ Legka Khoda;1;;жіночі
4823028022535;125;1;Art-000085;5079 23 чорний;ТМ Legka Khoda;1;;жіночі
