Category ID;Active (0/1);Name *;Parent category;Root category (0/1);Description;Meta title;Meta keywords;Meta description;URL rewritten;Image URL
312;1;Носки мужские;ТМ Акцент;0;описание торговой марки акцент;;;;Noski-men-TM-Akcent;
313;1;Носки женские;ТМ Акцент;0;описание торговой марки акцент;;;;Noskit-women-TM-Akcent;
314;1;Носки детские;ТМ Акцент;0;описание торговой марки акцент;;;;Noski-detckie-TM-Akcent;
315;1;Колготки детские;ТМ Акцент;0;описание торговой марки акцент;;;;Kolgotki-detckie-TM-Akcent;
